Ï»¿MANUFACTURER,DEVICE,SECTION,PARAMETER_NAME,PARAMETER_DESCRIPTION,CC_MSB,CC_LSB,CC_MIN_VALUE,CC_MAX_VALUE,NRPN_MSB,NRPN_LSB,NRPN_MIN_VALUE,NRPN_MAX_VALUE,ORIENTATION,NOTES,USAGE
BLACK CORPORATION,DECKARD'S DREAM MK2,LAYER I FILTER,HIGH PASS FILTER BRILLIANCE I,,46,,0,127,,,,,0-BASED,,
BLACK CORPORATION,DECKARD'S DREAM MK2,LAYER I FILTER,HIGH PASS FILTER RESONANCE I,,47,,0,127,,,,,0-BASED,,
BLACK CORPORATION,DECKARD'S DREAM MK2,LAYER I FILTER,LOW PASS FILTER BRILLIANCE I,,48,,0,127,,,,,0-BASED,,
BLACK CORPORATION,DECKARD'S DREAM MK2,LAYER I FILTER,LOW PASS FILTER RESONANCE I,,49,,0,127,,,,,0-BASED,,
BLACK CORPORATION,DECKARD'S DREAM MK2,LAYER I FILTER,FILTER EG INITIAL LEVEL I,,50,,0,127,,,,,0-BASED,,
BLACK CORPORATION,DECKARD'S DREAM MK2,LAYER I FILTER,FILTER EG AFTER LEVEL I,,51,,0,127,,,,,0-BASED,,
BLACK CORPORATION,DECKARD'S DREAM MK2,LAYER I FILTER,FILTER ATTACK I,,52,,0,127,,,,,0-BASED,,
BLACK CORPORATION,DECKARD'S DREAM MK2,LAYER I FILTER,FILTER DECAY I,,53,,0,127,,,,,0-BASED,,
BLACK CORPORATION,DECKARD'S DREAM MK2,LAYER I FILTER,FILTER RELEASE I,,54,,0,127,,,,,0-BASED,,
BLACK CORPORATION,DECKARD'S DREAM MK2,LAYER I VCA,VCF LEVEL I,,55,,0,127,,,,,0-BASED,,
BLACK CORPORATION,DECKARD'S DREAM MK2,LAYER I VCA,SINE LEVEL I,,56,,0,127,,,,,0-BASED,,
BLACK CORPORATION,DECKARD'S DREAM MK2,LAYER I VCA,VCA ITTACK I,,57,,0,127,,,,,0-BASED,,
BLACK CORPORATION,DECKARD'S DREAM MK2,LAYER I VCA,VCA DECAY I,,58,,0,127,,,,,0-BASED,,
BLACK CORPORATION,DECKARD'S DREAM MK2,LAYER I VCA,VCA SUSTAIN I,,59,,0,127,,,,,0-BASED,,
BLACK CORPORATION,DECKARD'S DREAM MK2,LAYER I VCA,VCA RELEASE I,,60,,0,127,,,,,0-BASED,,
BLACK CORPORATION,DECKARD'S DREAM MK2,LAYER I VCA,VCA LEVEL I,,61,,0,127,,,,,0-BASED,,
BLACK CORPORATION,DECKARD'S DREAM MK2,LAYER I FILTER,INITIAL BRILLIANCE I,,62,,0,127,,,,,0-BASED,,
BLACK CORPORATION,DECKARD'S DREAM MK2,LAYER I VCA,INITIAL LEVEL I,,63,,0,127,,,,,0-BASED,,
BLACK CORPORATION,DECKARD'S DREAM MK2,LAYER I FILTER,AFTERTOUCH BRILLIANCE I,,65,,0,127,,,,,0-BASED,,
BLACK CORPORATION,DECKARD'S DREAM MK2,LAYER I VCA,AFTERTOUCH LEVEL I,,66,,0,127,,,,,0-BASED,,
BLACK CORPORATION,DECKARD'S DREAM MK2,LAYER II OSCILLATOR,PULSE WIDTH MODULATION SPEED II,,67,,0,127,,,,,0-BASED,,
BLACK CORPORATION,DECKARD'S DREAM MK2,LAYER II OSCILLATOR,PULSE WIDTH MODULATION AMOUNT II,,68,,0,127,,,,,0-BASED,,
BLACK CORPORATION,DECKARD'S DREAM MK2,LAYER II OSCILLATOR,PULSE WIDTH II,,69,,0,127,,,,,0-BASED,,
BLACK CORPORATION,DECKARD'S DREAM MK2,LAYER II OSCILLATOR,SQUARE II,,70,,0,127,,,,,0-BASED,,0-63: OFF; 64-127: ON
BLACK CORPORATION,DECKARD'S DREAM MK2,LAYER II OSCILLATOR,SAW II,,71,,0,127,,,,,0-BASED,,0-63: OFF; 64-127: ON
BLACK CORPORATION,DECKARD'S DREAM MK2,LAYER II OSCILLATOR,NOISE LEVEL II,,72,,0,127,,,,,0-BASED,,
BLACK CORPORATION,DECKARD'S DREAM MK2,LAYER II FILTER,HIGH PASS FILTER BRILLIANCE II,,73,,0,127,,,,,0-BASED,,
BLACK CORPORATION,DECKARD'S DREAM MK2,LAYER II FILTER,HIGH PASS FILTER RESONANCE II,,119,,0,127,,,,,0-BASED,,
BLACK CORPORATION,DECKARD'S DREAM MK2,LAYER II FILTER,LOW PASS FILTER BRILLIANCE II,,75,,0,127,,,,,0-BASED,,
BLACK CORPORATION,DECKARD'S DREAM MK2,LAYER II FILTER,LOW PASS FILTER RESONANCE II,,76,,0,127,,,,,0-BASED,,
BLACK CORPORATION,DECKARD'S DREAM MK2,LAYER II FILTER,FILTER EG INITIAL LEVEL II,,77,,0,127,,,,,0-BASED,,
BLACK CORPORATION,DECKARD'S DREAM MK2,LAYER II FILTER,FILTER EG AFTER LEVEL II,,78,,0,127,,,,,0-BASED,,
BLACK CORPORATION,DECKARD'S DREAM MK2,LAYER II FILTER,FILTER ATTACK II,,79,,0,127,,,,,0-BASED,,
BLACK CORPORATION,DECKARD'S DREAM MK2,LAYER II FILTER,FILTER DECAY II,,80,,0,127,,,,,0-BASED,,
BLACK CORPORATION,DECKARD'S DREAM MK2,LAYER II FILTER,FILTER RELEASE II,,81,,0,127,,,,,0-BASED,,
BLACK CORPORATION,DECKARD'S DREAM MK2,LAYER II VCA,VCF LEVEL II,,82,,0,127,,,,,0-BASED,,
BLACK CORPORATION,DECKARD'S DREAM MK2,LAYER II VCA,SINE LEVEL II,,83,,0,127,,,,,0-BASED,,
BLACK CORPORATION,DECKARD'S DREAM MK2,LAYER II VCA,VCA ATTACK II,,84,,0,127,,,,,0-BASED,,
BLACK CORPORATION,DECKARD'S DREAM MK2,LAYER II VCA,VCA DECAY II,,85,,0,127,,,,,0-BASED,,
BLACK CORPORATION,DECKARD'S DREAM MK2,LAYER II VCA,VCA SUSTAIN II,,86,,0,127,,,,,0-BASED,,
BLACK CORPORATION,DECKARD'S DREAM MK2,LAYER II VCA,VCA RELEASE II,,87,,0,127,,,,,0-BASED,,
BLACK CORPORATION,DECKARD'S DREAM MK2,LAYER II VCA,VCA LEVEL II,,88,,0,127,,,,,0-BASED,,
BLACK CORPORATION,DECKARD'S DREAM MK2,LAYER II FILTER,INITIAL BRILLIANCE II,,89,,0,127,,,,,0-BASED,,
BLACK CORPORATION,DECKARD'S DREAM MK2,LAYER II VCA,INITIAL LEVEL II,,90,,0,127,,,,,0-BASED,,
BLACK CORPORATION,DECKARD'S DREAM MK2,LAYER II FILTER,AFTERTOUCH BRILLIANCE II,,91,,0,127,,,,,0-BASED,,
BLACK CORPORATION,DECKARD'S DREAM MK2,LAYER II VCA,AFTERTOUCH LEVEL II,,92,,0,127,,,,,0-BASED,,
BLACK CORPORATION,DECKARD'S DREAM MK2,GLOBAL PITCH,COARSE PITCH,,93,,0,127,,,,,CENTERED,,
BLACK CORPORATION,DECKARD'S DREAM MK2,GLOBAL PITCH,FINE PITCH,,94,,0,127,,,,,CENTERED,,
BLACK CORPORATION,DECKARD'S DREAM MK2,GLOBAL PITCH,DETUNE OSC II,,95,,0,127,,,,,CENTERED,,
BLACK CORPORATION,DECKARD'S DREAM MK2,GLOBAL PITCH,FEET I,,102,,0,127,,,,,0-BASED,,0-21: OCTAVE BELOW (16'); 22-42: DEFAULT RANGE (8'); 43-63: FIFTH ABOVE (5 1/3'); 64-84: OCTAVE ABOVE (4'); 85-105: OCTAVE AND FIFTH ABOVE (2 1/3'); 106-127: 2 OCTAVES ABOVE (2')
BLACK CORPORATION,DECKARD'S DREAM MK2,GLOBAL PITCH,FEET II,,103,,0,127,,,,,0-BASED,,0-21: OCTAVE BELOW (16'); 22-42: DEFAULT RANGE (8'); 43-63: FIFTH ABOVE (5 1/3'); 64-84: OCTAVE ABOVE (4'); 85-105: OCTAVE AND FIFTH ABOVE (2 1/3'); 106-127: 2 OCTAVES ABOVE (2')
BLACK CORPORATION,DECKARD'S DREAM MK2,SUB OSCILLATOR,SUB OSCILLATOR WAVEFORM,,104,,0,127,,,,,0-BASED,,0-21: SINE; 22-42: SAW; 43-63: RAMP; 64-84: SQUARE; 85-105: RANDOM (SAMPLE & HOLD); 106-127: EXTERNAL CV
